ID,Who,When,Hit,Comments
1,DvB,05-12-2020 10:12,1,Death by family
2,NvD,06-12-2020 10:34,1,
3a,DvB,07-12-2020 15:42,1,SkyRadio
3b,DvB,07-12-2020 09:46,1,SkyRadio
4,KdB,07-12-2020 11:18,1,Radio
5,L,07-12-2020 11:08,1,
6,MH,08-12-2020 15:42,1,
7,S,09-12-2020 14:13,1,
8,L,10-12-2020 11:54,1,
9,S,10-12-2020 10:12,1,
10,DvB,10-12-2020 15:42,1,
11a,NvD,10-12-2020 09:54,1,
11b,NvD,10-12-2020 11:54,1,
12,S,11-12-2020 08:10,1,Radio
13a,KdB,12-12-2020 10:42,1,Radio
13b,KdB,12-12-2020 15:42,1,Radio
13c,KdB,12-12-2020 20:42,1,Radio
14,NvD,12-12-2020 14:07,1,
15,L,13-12-2020 15:06,1,
16,S,14-12-2020 11:18,1,
17,L,15-12-2020 14:13,1,
18,DvB,17-12-2020 16:07,1,
19,L,18-12-2020 18:18,1,
20,NvD,20-12-2020 15:42,1,
21,DvB,21-12-2020 09:27,1,
22,S,21-12-2020 08:10,1,
23,DvB,22-12-2020 16:07,1,
24a,S,23-12-2020 10:06,1,
24b,S,23-12-2020 15:06,1,
25,NvD,23-12-2020 15:42,1,
26a,DvB,24-12-2020 09:27,1,
26b,DvB,24-12-2020 14:27,1,
27,KdB,02-12-2021 15:42,1,
28,DvB,04-12-2021 18:18,1,
29,S,04-12-2021 14:13,1,
30,S,05-12-2021 15:42,1,
31,DvB,05-12-2021 17:30,1,
32,MH,05-12-2021 11:18,1,
33,L,05-12-2021 12:42,1,
34,L,05-12-2021 14:12,1,
35,L,07-12-2021 16:07,1,
35,MH,08-12-2021 09:27,1,
35,S,08-12-2021 11:08,1,
35,L,08-12-2021 16:07,1,
36a,DvB,09-12-2021 09:07,1,
36b,DvB,09-12-2021 14:07,1,
37,L,09-12-2021 10:12,1,
38a,S,10-12-2021 11:54,1,
38b,S,10-12-2021 16:54,1,
39,DvB,11-12-2021 12:42,1,
40,S,11-12-2021 11:18,1,
41,DvB,13-12-2021 09:27,1,
42,S,13-12-2021 15:06,1,
43,L,13-12-2021 15:42,1,
44,KdB,14-12-2021 11:18,1,
45,S,16-12-2021 11:18,1,
46,KdB,16-12-2021 15:42,1,
47,L,17-12-2021 16:08,1,
48a,S,17-12-2021 12:18,1,
48b,S,17-12-2021 18:18,1,
49,L,18-12-2021 11:08,1,
50,S,18-12-2021 12:42,1,
51,NvD,18-12-2021 17:30,1,
52,S,20-12-2021 09:27,1,
53a,L,21-12-2021 08:10,1,
53b,L,21-12-2021 13:10,1,
54,S,21-12-2021 18:18,1,
55,DvB,21-12-2021 15:06,1,
56,S,22-12-2021 11:54,1,
57a,L,23-12-2021 08:10,1,
57b,L,23-12-2021 09:10,1,
57c,L,23-12-2021 12:10,1,
57d,L,23-12-2021 15:10,1,
58,DvB,23-12-2021 14:07,1,
59,S,23-12-2021 15:06,1,
60,S,24-12-2021 10:12,1,
61a,DvB,24-12-2021 10:54,1,
61b,DvB,24-12-2021 11:54,1,
61c,DvB,24-12-2021 16:54,1,
62,MH,24-12-2021 16:07,1,
63,KdB,24-12-2021 14:07,1,
64,DvB,02-12-2022 18:18,1,
65,NvD,03-12-2022 14:07,1,
66,MH,06-12-2022 15:06,1,
67,DvB,08-12-2022 16:07,1,
68,L,09-12-2022 08:10,1,
69,S,12-12-2022 09:27,1,
70,L,12-12-2022 11:54,1,
71,L,12-12-2022 16:08,1,
72,DvB,13-12-2022 09:46,1,
73,KdB,13-12-2022 10:34,1,
74,MH,13-12-2022 12:42,1,
75,S,13-12-2022 17:30,1,
76,DvB,14-12-2022 11:18,1,
77,L,14-12-2022 14:13,1,
78,L,15-12-2022 10:12,1,
80,S,15-12-2022 11:08,1,
81,KdB,15-12-2022 15:40,1,
82,DvB,15-12-2022 15:42,1,
